Unnamed: 0,region_1,region_2
67663,,
67664,,
67665,Santa Ynez Valley,Central Coast
67666,Napa Valley,Napa
67667,Napa Valley,Napa
67668,Santa Barbara County,Central Coast
67669,Santa Ynez Valley,Central Coast
67670,Edna Valley,Central Coast
67671,,
67672,Sonoma County,Sonoma
67673,,
67674,,
67675,Monterey,Central Coast
67676,Central Coast,Central Coast
67677,,
67678,Willamette Valley,Willamette Valley
67679,Central Coast,Central Coast
67680,Chianti Colli Senesi,
67681,North Fork of Long Island,Long Island
67682,North Fork of Long Island,Long Island
67683,Chianti Classico,
67684,North Fork of Long Island,Long Island
67685,Chianti Classico,
67686,Chianti Classico,
67687,Chianti,
67688,Chianti Colli Pisani,
67689,Chianti Classico,
67690,Long Island,Long Island
67691,Chianti Rufina,
67692,Chianti Classico,
67693,Chianti Classico,
67694,North Fork of Long Island,Long Island
67695,North Fork of Long Island,Long Island
67696,North Fork of Long Island,Long Island
67697,Chianti Classico,
67698,South Eastern Australia,
67699,Long Island,Long Island
67700,Chianti Classico,
67701,North Fork of Long Island,Long Island
67702,Chianti Classico,
67703,Chianti Classico,
67704,Chianti Classico,
67705,North Fork of Long Island,Long Island
67706,Chianti Classico,
67707,Chianti,
67708,North Fork of Long Island,Long Island
67709,North Fork of Long Island,Long Island
67710,Alsace,
67711,Mendoza,
67712,Alsace,
67713,Santa Maria Valley,Central Coast
67714,Cerasuolo d'Abruzzo,
67715,Vin de Pays d'Oc,
67716,Languedoc,
67717,Sicilia,
67718,Mendoza,
67719,Santa Lucia Highlands,Central Coast
67720,,
67721,Sonoma County,Sonoma
67722,Toscana,
67723,Mendoza,
67724,Uco Valley,
67725,Monterey County,Central Coast
67726,Lazio,
67727,Meursault,
67728,Sonoma County,Sonoma
67729,Pommard,
67730,Trentino,
67731,Vin de Pays d'Oc,
67732,,
67733,Amador County,Sierra Foothills
67734,Bourgogne,
67735,Mendoza,
67736,,
67737,Bennett Valley,Sonoma
67738,Chablis,
67739,,
67740,Luján de Cuyo,
67741,Horse Heaven Hills,Columbia Valley
67742,Tasmania,
67743,Venezia Giulia,
67744,Friuli Grave,
67745,Friuli Grave,
67746,,
67747,Vino de la Tierra de Castilla,
67748,Mendoza,
67749,Colli Orientali del Friuli,
67750,California,California Other
67751,Columbia Valley (WA),Columbia Valley
67752,Navarra,
67753,Navarra,
67754,Perdriel,
67755,Cafayate,
67756,Rioja,
67757,Colli Orientali del Friuli,
67758,Navarra,
67759,Napa Valley,Napa
67760,Colli Orientali del Friuli,
67761,Collio,
67762,Colli Orientali del Friuli,
67763,Colli Orientali del Friuli,
67764,Santa Barbara County,Central Coast
67765,California,California Other
67766,Rías Baixas,
67767,Russian River Valley,Sonoma
67768,Columbia Valley (WA),Columbia Valley
67769,,
67770,Lodi,Central Valley
67771,Mendoza,
67772,Chalk Hill,Sonoma
67773,Cafayate,
67774,Russian River Valley,Sonoma
67775,Finger Lakes,Finger Lakes
67776,Santa Barbara County,Central Coast
67777,Sonoma County,Sonoma
67778,Mendoza,
67779,Sonoma County,Sonoma
67780,Virginia,
67781,Sonoma Valley,Sonoma
67782,Missouri,
67783,Oakville,Napa
67784,Grand Valley,
67785,Russian River Valley,Sonoma
67786,Ohio,
67787,Columbia Valley (WA),Columbia Valley
67788,New Jersey,
67789,Santa Barbara County,Central Coast
67790,Santa Barbara County,Central Coast
67791,Russian River Valley,Sonoma
67792,Sierra Foothills,Sierra Foothills
67793,Mendoza,
67794,Sonoma County,Sonoma
67795,Napa Valley,Napa
67796,Mendoza,
67797,California,California Other
67798,Santa Barbara County,Central Coast
67799,North Fork of Long Island,Long Island
67800,Chianti Colli Senesi,
67801,Long Island,Long Island
67802,Long Island,Long Island
67803,Chianti Classico,
67804,North Fork of Long Island,Long Island
67805,,
67806,,
67807,Chianti Colli Fiorentini,
67808,Chianti Colli Senesi,
67809,Long Island,Long Island
67810,North Fork of Long Island,Long Island
67811,,
67812,Long Island,Long Island
67813,North Fork of Long Island,Long Island
67814,Chianti Classico,
67815,Chianti Classico,
67816,Chianti Colli Aretini,
67817,Chianti,
67818,North Fork of Long Island,Long Island
67819,Chianti Classico,
67820,Chianti Classico,
67821,Chianti Classico,
67822,Languedoc,
67823,North Fork of Long Island,Long Island
67824,Chianti Classico,
67825,Vin de Pays du Jardin de la France,
67826,North Fork of Long Island,Long Island
67827,,
67828,North Fork of Long Island,Long Island
67829,North Fork of Long Island,Long Island
67830,Meursault,
67831,Collio,
67832,Mendoza,
67833,,
67834,,
67835,Sonoma Valley,Sonoma
67836,Pouilly-Fuissé,
67837,Sonoma Coast,Sonoma
67838,Finger Lakes,Finger Lakes
67839,Cole Ranch,Mendocino/Lake Counties
67840,Côtes du Rhône,
67841,Toscana,
67842,Paso Robles,Central Coast
67843,Sonoma County,Sonoma
67844,Vin de Pays d'Oc,
67845,Napa Valley,Napa
67846,Mendoza,
67847,Sta. Rita Hills,Central Coast
67848,Sonoma Coast,Sonoma
67849,,
67850,Virginia,
67851,Central Coast,Central Coast
67852,Edna Valley,Central Coast
67853,Dry Creek Valley,Sonoma
67854,Russian River Valley,Sonoma
67855,Montagny,
67856,Russian River Valley,Sonoma
67857,Sonoma County,Sonoma
67858,Uco Valley,
67859,Delle Venezie,
67860,San Luis Obispo County,Central Coast
67861,,
67862,,
67863,Sonoma County,Sonoma
67864,,
67865,Anderson Valley,Mendocino/Lake Counties
67866,,
67867,Médoc,
67868,Willamette Valley,Willamette Valley
67869,,
67870,,
67871,,
67872,,
67873,Amador County,Sierra Foothills
67874,,
67875,,
67876,,
67877,,
67878,,
67879,,
67880,,
67881,Willamette Valley,Willamette Valley
67882,,
67883,,
67884,,
67885,Russian River Valley,Sonoma
67886,,
67887,,
67888,Central Coast,Central Coast
67889,Amador County,Sierra Foothills
67890,Sta. Rita Hills,Central Coast
67891,Minervois,
67892,Collio,
67893,,
67894,Adelaide Hills,
67895,Sonoma County,Sonoma
67896,San Juan,
67897,Coteaux du Languedoc,
67898,Columbia Valley (WA),Columbia Valley
67899,California,California Other
67900,Arroyo Seco,Central Coast
67901,Santa Lucia Highlands,Central Coast
67902,Collio,
67903,Colli Orientali del Friuli,
67904,Colli Orientali del Friuli,
67905,Mendoza,
67906,Mendoza,
67907,Mendoza,
67908,Mendoza,
67909,Columbia Valley (WA),Columbia Valley
67910,Rockpile,Sonoma
67911,Monterey County,Central Coast
67912,Colli Orientali del Friuli,
67913,Tasmania,
67914,San Juan,
67915,Collio,
67916,,
67917,Santa Barbara County,Central Coast
67918,Russian River Valley,Sonoma
67919,Languedoc,
67920,,
67921,Mendoza,
67922,Paso Robles,Central Coast
67923,Calchaquí Valley,
67924,Mendoza,
67925,Santa Barbara County,Central Coast
67926,Sonoma Valley,Sonoma
67927,Calaveras County,Sierra Foothills
67928,Sonoma County,Sonoma
67929,California,California Other
67930,Mendoza,
67931,Mendoza,
67932,Napa Valley,Napa
67933,Quincy,
67934,Tupungato,
67935,Finger Lakes,Finger Lakes
67936,Mendoza,
67937,Lake County,Mendocino/Lake Counties
67938,Edna Valley,Central Coast
67939,Santa Barbara County,Central Coast
67940,Mendoza,
67941,New Mexico,
67942,Santa Barbara County,Central Coast
67943,Lodi,Central Valley
67944,Santa Barbara County,Central Coast
67945,Russian River Valley,Sonoma
67946,California,California Other
67947,Sonoma County,Sonoma
67948,California,California Other
67949,Paso Robles,Central Coast
67950,North Fork of Long Island,Long Island
67951,Long Island,Long Island
67952,North Fork of Long Island,Long Island
67953,North Fork of Long Island,Long Island
67954,Chianti,
67955,Chianti Classico,
67956,Chianti,
67957,North Fork of Long Island,Long Island
67958,Chianti Classico,
67959,Vin de Pays d'Oc,
67960,North Fork of Long Island,Long Island
67961,Chianti Classico,
67962,Long Island,Long Island
67963,,
67964,North Fork of Long Island,Long Island
67965,North Fork of Long Island,Long Island
67966,North Fork of Long Island,Long Island
67967,North Fork of Long Island,Long Island
67968,North Fork of Long Island,Long Island
67969,North Fork of Long Island,Long Island
67970,North Fork of Long Island,Long Island
67971,North Fork of Long Island,Long Island
67972,North Fork of Long Island,Long Island
67973,Chianti Classico,
67974,Chianti Classico,
67975,Chianti,
67976,North Fork of Long Island,Long Island
67977,Chianti,
67978,Chianti Classico,
67979,North Fork of Long Island,Long Island
67980,Sonoma Valley,Sonoma
67981,North Fork of Long Island,Long Island
67982,,
67983,Sicilia,
67984,Bourgogne Hautes Côtes de Nuits,
67985,Santenay,
67986,Dry Creek Valley,Sonoma
67987,Sicilia,
67988,Mendoza,
67989,Shenandoah Valley (CA),Sierra Foothills
67990,Colli di Conegliano,
67991,Carneros,Napa-Sonoma
67992,Dry Creek Valley,Sonoma
67993,,
67994,Marin County,North Coast
67995,Mendoza,
67996,Puglia,
67997,Alto Adige,
67998,,
67999,,
68000,Vin de Pays d'Oc,
68001,Mendoza,
68002,Bourgogne,
68003,Trentino,
68004,Mendocino County,Mendocino/Lake Counties
68005,Monthélie,
68006,Mâcon-Villages,
68007,Montepulciano d'Abruzzo Cerasuolo,
68008,Mendoza,
68009,Los Carneros,Napa-Sonoma
68010,Napa Valley,Napa
68011,,
68012,,
68013,,
68014,Haut-Médoc,
68015,,
68016,,
68017,York Mountain,Central Coast
68018,,
68019,,
68020,,
68021,El Dorado,Sierra Foothills
68022,California,California Other
68023,Russian River Valley,Sonoma
68024,Yorkville Highlands,North Coast
68025,Willamette Valley,Willamette Valley
68026,,
68027,Napa Valley,Napa
68028,,
68029,,
68030,,
68031,,
68032,,
68033,,
68034,,
68035,Russian River Valley,Sonoma
68036,,
68037,,
68038,California,California Other
68039,,
68040,,
68041,Sonoma Valley,Sonoma
68042,Colli Orientali del Friuli,
68043,San Juan,
68044,,
68045,Collio,
68046,Napa Valley,Napa
68047,Mendoza,
68048,Colli Orientali del Friuli,
68049,Sonoma Coast,Sonoma
68050,Colli Orientali del Friuli,
68051,Mendoza,
68052,Mendoza,
68053,Columbia Valley (WA),Columbia Valley
68054,Colli Orientali del Friuli,
68055,California,California Other
68056,Mendoza,
68057,Colli Orientali del Friuli,
68058,Yakima Valley,Columbia Valley
68059,Colli Orientali del Friuli,
68060,Colli Orientali del Friuli,
68061,La Rioja,
68062,Delle Venezie,
68063,California,California Other
68064,Carneros,Napa-Sonoma
68065,,
68066,Delle Venezie,
68067,Minervois,
68068,Colli Orientali del Friuli,
68069,Wahluke Slope,Columbia Valley
68070,Mendoza,
68071,Tupungato,
68072,Ohio,
68073,Ohio,
68074,Monterey County,Central Coast
68075,Santa Barbara County,Central Coast
68076,Alexander Valley,Sonoma
68077,Napa Valley,Napa
68078,Mendoza,
68079,North Fork of Long Island,Long Island
68080,Mendocino,Mendocino/Lake Counties
68081,Paso Robles,Central Coast
68082,Santa Barbara County,Central Coast
68083,San Rafael,
68084,Sonoma Valley,Sonoma
68085,Edna Valley,Central Coast
68086,Central Coast,Central Coast
68087,Santa Barbara County,Central Coast
68088,Santa Barbara County,Central Coast
68089,Sonoma County,Sonoma
68090,Santa Lucia Highlands,Central Coast
68091,Tupungato,
68092,Mendoza,
68093,Mendoza,
68094,Neuquén,
68095,California,California Other
68096,Rutherford,Napa
68097,Mendoza,
68098,Paso Robles,Central Coast
68099,Alexander Valley,Sonoma
68100,,
68101,North Fork of Long Island,Long Island
68102,North Fork of Long Island,Long Island
68103,Chianti Classico,
68104,Long Island,Long Island
68105,Sonoma County,Sonoma
68106,North Fork of Long Island,Long Island
68107,Alsace,
68108,North Fork of Long Island,Long Island
68109,Chianti Classico,
68110,North Fork of Long Island,Long Island
68111,North Fork of Long Island,Long Island
68112,Chianti,
68113,Bordeaux,
68114,North Fork of Long Island,Long Island
68115,Bordeaux,
68116,Chianti Rufina,
68117,Chianti Classico,
68118,,
68119,North Fork of Long Island,Long Island
68120,North Fork of Long Island,Long Island
68121,,
68122,South Australia,
68123,Barossa Valley,
68124,Cahors,
68125,Redwood Valley,Mendocino/Lake Counties
68126,,
68127,Mendocino,Mendocino/Lake Counties
68128,Contra Costa County,Central Coast
68129,Contra Costa County,Central Coast
68130,Sonoma County,Sonoma
68131,Sonoma County,Sonoma
68132,Alsace,
68133,,
68134,Barbera d'Alba,
68135,Mendoza,
68136,,
68137,,
68138,,
68139,Bourgogne,
68140,California,California Other
68141,,
68142,,
68143,Toscana,
68144,Napa Valley,Napa
68145,Dry Creek Valley,Sonoma
68146,,
68147,,
68148,Garda Classico,
68149,Mendoza,
68150,Sicilia,
68151,Finger Lakes,Finger Lakes
68152,,
68153,Mendoza,
68154,,
68155,,
68156,Napa Valley,Napa
68157,Finger Lakes,Finger Lakes
68158,Sonoma County,Sonoma
68159,Napa Valley,Napa
68160,,
68161,Green Valley,Sonoma
68162,,
68163,,
68164,,
68165,Willamette Valley,Willamette Valley
68166,,
68167,,
68168,,
68169,,
68170,Chalone,Central Coast
68171,,
68172,Alexander Valley,Sonoma
68173,Monterey,Central Coast
68174,Amador County,Sierra Foothills
68175,Sonoma Valley,Sonoma
68176,,
68177,,
68178,,
68179,,
68180,,
68181,San Luis Obispo County,Central Coast
68182,,
68183,,
68184,Rutherford,Napa
68185,,
68186,,
68187,,
68188,,
68189,,
68190,Wahluke Slope,Columbia Valley
68191,Friuli Grave,
68192,Mendoza,
68193,Mendoza,
68194,Colli Orientali del Friuli,
68195,Friuli Grave,
68196,Paso Robles,Central Coast
68197,Yakima Valley,Columbia Valley
68198,Mendoza,
68199,Colli Orientali del Friuli,
68200,Colli Orientali del Friuli,
68201,Arroyo Grande Valley,Central Coast
68202,Friuli Grave,
68203,Sonoma County,Sonoma
68204,Red Mountain,Columbia Valley
68205,Friuli Grave,
68206,Tulum Valley,
68207,Mendoza,
68208,San Rafael,
68209,Colli Orientali del Friuli,
68210,Coteaux du Languedoc,
68211,Wahluke Slope,Columbia Valley
68212,,
68213,Collio,
68214,,
68215,Venezia Giulia,
68216,Mendoza,
68217,Sonoma County,Sonoma
68218,Walla Walla Valley (WA),Columbia Valley
68219,Mendoza,
68220,Mendoza,
68221,Santa Barbara County,Central Coast
68222,Sierra Foothills,Sierra Foothills
68223,Neuquén,
68224,Mendoza,
68225,Mendoza,
68226,,
68227,Santa Barbara County,Central Coast
68228,Mendoza,
68229,Mendoza,
68230,Mendoza,
68231,Mendoza,
68232,Santa Cruz Mountains,Central Coast
68233,Santa Cruz Mountains,Central Coast
68234,Mendoza,
68235,Cafayate,
68236,Mendoza,
68237,Côte Rôtie,
68238,Côte Rôtie,
68239,Rioja,
68240,Côte Rôtie,
68241,Hermitage,
68242,Hermitage,
68243,Hermitage,
68244,Rioja,
68245,Côte Rôtie,
68246,Rioja,
68247,Hermitage,
68248,Hermitage,
68249,Rioja,
68250,South Australia,
68251,South Eastern Australia,
68252,Mendocino Ridge,Mendocino/Lake Counties
68253,Dry Creek Valley,Sonoma
68254,Mendocino,Mendocino/Lake Counties
68255,,
68256,Barolo,
68257,Sonoma County,Sonoma
68258,Sonoma County,Sonoma
68259,Russian River Valley,Sonoma
68260,Niagara Peninsula,
68261,Sonoma County,Sonoma
68262,Sonoma Valley,Sonoma
68263,Sonoma County,Sonoma
68264,Dry Creek Valley,Sonoma
68265,Clear Lake,Mendocino/Lake Counties
68266,Dry Creek Valley,Sonoma
68267,Lake Erie North Shore,
68268,Sonoma Valley,Sonoma
68269,Sonoma County,Sonoma
68270,Dry Creek Valley,Sonoma
68271,Mendocino Ridge,Mendocino/Lake Counties
68272,Sonoma County,Sonoma
68273,,
68274,Dry Creek Valley,Sonoma
68275,Amador County,Sierra Foothills
68276,,
68277,South Australia,
68278,,
68279,,
68280,,
68281,Napa Valley,Napa
68282,Russian River Valley,Sonoma
68283,Sonoma County,Sonoma
68284,,
68285,Amador County,Sierra Foothills
68286,California,California Other
68287,,
68288,Amador County,Sierra Foothills
68289,Amador County,Sierra Foothills
68290,,
68291,Haut-Médoc,
68292,Willamette Valley,Willamette Valley
68293,,
68294,,
68295,,
68296,,
68297,,
68298,,
68299,North Coast,North Coast
68300,Haut-Médoc,
68301,,
68302,Santa Barbara County,Central Coast
68303,Central Coast,Central Coast
68304,,
68305,Dry Creek Valley,Sonoma
68306,,
68307,,
68308,Dry Creek Valley,Sonoma
68309,,
68310,,
68311,Delle Venezie,
68312,Mendoza,
68313,North Fork of Long Island,Long Island
68314,Hunter Valley,
68315,Mendoza,
68316,Luján de Cuyo,
68317,Sonoma County,Sonoma
68318,Mendoza,
68319,,
68320,Finger Lakes,Finger Lakes
68321,Santenay,
68322,,
68323,Bandol,
68324,Alsace,
68325,Terra degli Osci,
68326,,
68327,Toscana,
68328,Vin de Pays d'Oc,
68329,,
68330,Chablis,
68331,Côtes du Rhône,
68332,Mendoza,
68333,Mendoza,
68334,North Fork of Long Island,Long Island
68335,Paso Robles,Central Coast
68336,,
68337,,
68338,Bourgogne Hautes Côtes de Nuits,
68339,Mendocino County,Mendocino/Lake Counties
68340,,
68341,Monterey County,Central Coast
68342,Friuli Grave,
68343,Mendoza,
68344,Tupungato,
68345,Red Mountain,Columbia Valley
68346,Yakima Valley,Columbia Valley
68347,Lake County,Mendocino/Lake Counties
68348,North Coast,North Coast
68349,Colli Orientali del Friuli,
68350,Santa Barbara County,Central Coast
68351,,
68352,Carneros,Napa-Sonoma
68353,Friuli Grave,
68354,,
68355,Vin de Pays des Coteaux de Bessilles,
68356,,
68357,Uco Valley,
68358,Friuli Aquileia,
68359,Navarra,
68360,Contra Costa County,Central Coast
68361,Central Coast,Central Coast
68362,Navarra,
68363,Vin de Pays d'Oc,
68364,Dry Creek Valley,Sonoma
68365,,
68366,Napa Valley,Napa
68367,Mendoza,
68368,,
68369,,
68370,Green Valley,Sonoma
68371,Hermitage,
68372,Hermitage,
68373,Rioja,
68374,Rioja,
68375,Rioja,
68376,Rioja,
68377,Hermitage,
68378,Hermitage,
68379,Anderson Valley,Mendocino/Lake Counties
68380,Hermitage,
68381,,
68382,Rioja,
68383,Cornas,
68384,Hermitage,
68385,Hermitage,
68386,Rutherford,Napa
68387,,
68388,Sancerre,
68389,Russian River Valley,Sonoma
68390,Rioja,
68391,Edna Valley,Central Coast
68392,Rioja,
68393,Hermitage,
68394,Napa Valley,Napa
68395,Rioja,
68396,Napa Valley,Napa
68397,Rioja,
68398,Rutherford,Napa
68399,Saint-Péray,
68400,,
68401,,
68402,,
68403,,
68404,Médoc,
68405,,
68406,,
68407,,
68408,Lake County,Mendocino/Lake Counties
68409,,
68410,Howell Mountain,Napa
68411,Napa Valley,Napa
68412,Knights Valley,Sonoma
68413,California,California Other
68414,,
68415,Livermore Valley,Central Coast
68416,,
68417,,
68418,California,California Other
68419,,
68420,Central Coast,Central Coast
68421,,
68422,,
68423,Carneros,Napa-Sonoma
68424,,
68425,,
68426,Central Coast,Central Coast
68427,Willamette Valley,Willamette Valley
68428,,
68429,Lake County,Mendocino/Lake Counties
68430,Toscana,
68431,,
68432,Castel del Monte,
68433,Mendoza,
68434,Sonoma County,Sonoma
68435,,
68436,,
68437,Sonoma Coast,Sonoma
68438,Aloxe-Corton,
68439,Mâcon-Lugny,
68440,Pennsylvania,
68441,Mendoza,
68442,Mâcon-Villages,
68443,,
68444,Vin de Pays d'Oc,
68445,Campania,
68446,,
68447,,
68448,,
68449,,
68450,,
68451,,
68452,Vin de Pays d'Oc,
68453,Finger Lakes,Finger Lakes
68454,Salento,
68455,Coonawarra,
68456,Bourgogne,
68457,,
68458,,
68459,Paso Robles,Central Coast
68460,Paso Robles,Central Coast
68461,Napa Valley,Napa
68462,Sonoma County,Sonoma
68463,Sonoma Valley,Sonoma
68464,Napa Valley,Napa
68465,Russian River Valley,Sonoma
68466,Sierra Foothills,Sierra Foothills
68467,Coonawarra,
68468,Dry Creek Valley,Sonoma
68469,,
68470,Sonoma Valley,Sonoma
68471,Paso Robles,Central Coast
68472,Minervois,
68473,Niagara Peninsula,
68474,Barolo,
68475,Dry Creek Valley,Sonoma
68476,Paso Robles,Central Coast
68477,California,California Other
68478,Dry Creek Valley,Sonoma
68479,Sonoma Valley,Sonoma
68480,Contra Costa County,Central Coast
68481,Australia,
68482,Shenandoah Valley (CA),Sierra Foothills
68483,Sonoma County,Sonoma
68484,Mendocino,Mendocino/Lake Counties
68485,Paso Robles,Central Coast
68486,Finger Lakes,Finger Lakes
68487,Niagara Peninsula,
68488,Sonoma County,Sonoma
68489,,
68490,Navarra,
68491,,
68492,La Rioja,
68493,Garda,
68494,Alexander Valley,Sonoma
68495,Mendoza,
68496,Carneros,Napa-Sonoma
68497,Sonoma County,Sonoma
68498,Mendoza,
68499,Dry Creek Valley,Sonoma
68500,San Juan,
68501,Vin de Pays d'Oc,
68502,Friuli Isonzo,
68503,Delle Venezie,
68504,Friuli Grave,
68505,Maipú,
68506,,
68507,Central Coast,Central Coast
68508,Mendoza,
68509,Yakima Valley,Columbia Valley
68510,Mendoza,
68511,Colli Orientali del Friuli,
68512,Colli Orientali del Friuli,
68513,Monterey,Central Coast
68514,Mendoza,
68515,Collio,
68516,Currency Creek-McLaren Vale,
68517,California,California Other
68518,Yakima Valley,Columbia Valley
68519,Tupungato,
68520,Rioja,
68521,Napa Valley,Napa
68522,Sancerre,
68523,Dry Creek Valley,Sonoma
68524,Sonoma Coast,Sonoma
68525,Côte Rôtie,
68526,Hermitage,
68527,,
68528,,
68529,Sonoma Coast,Sonoma
68530,Rioja,
68531,Russian River Valley,Sonoma
68532,,
68533,Hermitage,
68534,Sonoma Valley,Sonoma
68535,Russian River Valley,Sonoma
68536,Rioja,
68537,Russian River Valley,Sonoma
68538,Rioja,
68539,Rioja,
68540,,
68541,,
68542,Russian River Valley,Sonoma
68543,Hermitage,
68544,Rioja,
68545,Napa Valley,Napa
68546,Côte Rôtie,
68547,Columbia Valley (WA),Columbia Valley
68548,Rioja,
68549,Rioja,
68550,Mendocino County,Mendocino/Lake Counties
68551,,
68552,California,California Other
68553,Napa Valley,Napa
68554,Paso Robles,Central Coast
68555,Santa Lucia Highlands,Central Coast
68556,Mendocino County,Mendocino/Lake Counties
68557,,
68558,,
68559,Fiddletown,Sierra Foothills
68560,,
68561,,
68562,Willamette Valley,Willamette Valley
68563,California,California Other
68564,,
68565,,
68566,,
68567,,
68568,,
68569,,
68570,Russian River Valley,Sonoma
68571,Sierra Foothills,Sierra Foothills
68572,,
68573,Central Coast,Central Coast
68574,Napa Valley,Napa
68575,Sonoma County,Sonoma
68576,Lodi,Central Valley
68577,Haut-Médoc,
68578,Central Coast,Central Coast
68579,,
68580,Oltrepò Pavese,
68581,,
68582,Livermore Valley,Central Coast
68583,Sonoma Coast,Sonoma
68584,,
68585,Margaret River,
68586,,
68587,Russian River Valley,Sonoma
68588,North Fork of Long Island,Long Island
68589,,
68590,North Fork of Long Island,Long Island
68591,Savigny-lès-Beaune,
68592,,
68593,Alsace,
68594,Mendoza,
68595,Colli della Toscana Centrale,
68596,Russian River Valley,Sonoma
68597,Mendoza,
68598,Mendoza,
68599,Mendocino County,Mendocino/Lake Counties
68600,Vin de Pays d'Oc,
68601,Russian River Valley,Sonoma
68602,New Mexico,
68603,Santa Lucia Highlands,Central Coast
68604,Valdadige,
68605,Colli della Toscana Centrale,
68606,,
68607,,
68608,Saint-Bris,
68609,Vin de Pays d'Oc,
68610,Côtes de Provence,
68611,Clear Lake,Mendocino/Lake Counties
68612,Redwood Valley,Mendocino/Lake Counties
68613,Vin de Pays du Gard,
68614,Eden Valley,
68615,Amador County,Sierra Foothills
68616,Sonoma Valley,Sonoma
68617,Sonoma County,Sonoma
68618,Redwood Valley,Mendocino/Lake Counties
68619,Niagara Peninsula,
68620,Napa Valley,Napa
68621,Côtes du Rhône,
68622,California,California Other
68623,,
68624,Niagara Peninsula,
68625,El Dorado,Sierra Foothills
68626,Redwood Valley,Mendocino/Lake Counties
68627,Napa Valley,Napa
68628,Amador County,Sierra Foothills
68629,Sonoma County,Sonoma
68630,South Eastern Australia,
68631,Finger Lakes,Finger Lakes
68632,Amador County,Sierra Foothills
68633,Solano County,North Coast
68634,,
68635,Lake County,Mendocino/Lake Counties
68636,Sonoma County,Sonoma
68637,Cahors,
68638,California,California Other
68639,Shenandoah Valley (CA),Sierra Foothills
68640,Neuquén,
68641,,
68642,Columbia Valley (WA),Columbia Valley
68643,,
68644,Navarra,
68645,Rioja,
68646,Russian River Valley,Sonoma
68647,Tupungato,
68648,Delle Venezie,
68649,California,California Other
68650,Friuli Grave,
68651,Friuli Grave,
68652,Mendoza,
68653,,
68654,,
68655,,
68656,Mendoza,
68657,Mendoza,
68658,California,California Other
68659,Mendoza,
68660,Rioja,
68661,South Australia,
68662,,
68663,Lodi,Central Valley
68664,Lodi,Central Valley
68665,California,California Other
68666,San Juan,
68667,South Eastern Australia,
68668,Yakima Valley,Columbia Valley
68669,Mendoza,
68670,Napa Valley,Napa
68671,,
68672,Cornas,
68673,Sancerre,
68674,Côte Rôtie,
68675,Hermitage,
68676,,
68677,Edna Valley,Central Coast
68678,Napa Valley,Napa
68679,Cornas,
68680,Atlas Peak,Napa
68681,Corbières,
68682,Sancerre,
68683,Côte Rôtie,
68684,Green Valley,Sonoma
68685,Santa Lucia Highlands,Central Coast
68686,Napa,
68687,Santa Lucia Highlands,Central Coast
68688,,
68689,Napa Valley,Napa
68690,Cornas,
68691,,
68692,California,California Other
68693,,
68694,Sancerre,
68695,Saint-Joseph,
68696,Rioja,
68697,,
68698,Hermitage,
68699,Paso Robles,Central Coast
68700,,
68701,El Dorado,Sierra Foothills
68702,,
68703,Sonoma County,Sonoma
68704,California,California Other
68705,,
68706,Rutherford,Napa
68707,Hames Valley,Central Coast
68708,,
68709,Listrac-Médoc,
68710,Médoc,
68711,,
68712,,
68713,,
68714,,
68715,,
68716,,
68717,California,California Other
68718,,
68719,Napa Valley,Napa
68720,,
68721,Amador County,Sierra Foothills
68722,,
68723,,
68724,Napa Valley,Napa
68725,California,California Other
68726,Willamette Valley,Willamette Valley
68727,,
68728,Lodi,Central Valley
68729,,
68730,Finger Lakes,Finger Lakes
68731,Vin de Pays d'Oc,
68732,Napa Valley,Napa
68733,Cayuga Lake,Finger Lakes
68734,Bardolino Classico,
68735,Alsace,
68736,Bourgogne Hautes Côtes de Nuits,
68737,Côtes de Provence,
68738,Vin de Pays d'Oc,
68739,North Fork of Long Island,Long Island
68740,Anderson Valley,Mendocino/Lake Counties
68741,San Carlos,
68742,Edna Valley,Central Coast
68743,Edna Valley,Central Coast
68744,Montepulciano d'Abruzzo Cerasuolo,
68745,,
68746,,
68747,Alsace,
68748,,
68749,Carneros,Napa-Sonoma
68750,Finger Lakes,Finger Lakes
68751,Salento,
68752,St. Helena,Napa
68753,,
68754,Alsace,
68755,Vin de Pays d'Oc,
68756,,
68757,,
68758,,
68759,Sonoma County-Monterey County-Santa Barbara County,California Other
68760,,
68761,,
68762,Sonoma County,Sonoma
68763,Napa Valley,Napa
68764,Paso Robles,Central Coast
68765,,
68766,Paso Robles,Central Coast
68767,,
68768,,
68769,Côtes du Luberon,
68770,California,California Other
68771,Costières de Nîmes,
68772,California,California Other
68773,Dry Creek Valley,Sonoma
68774,,
68775,El Dorado,Sierra Foothills
68776,Niagara Peninsula,
68777,Napa Valley,Napa
68778,Dry Creek Valley,Sonoma
68779,Paso Robles,Central Coast
68780,Napa Valley,Napa
68781,,
68782,Dry Creek Valley,Sonoma
68783,Paso Robles,Central Coast
68784,Sonoma Valley,Sonoma
68785,,
68786,Sonoma County,Sonoma
68787,Finger Lakes,Finger Lakes
68788,Saint-Émilion,
68789,Sonoma County,Sonoma
68790,Central Coast,Central Coast
68791,Dry Creek Valley,Sonoma
68792,California,California Other
68793,Colli Orientali del Friuli,
68794,,
68795,Coteaux du Languedoc,
68796,La Rioja,
68797,Colli Orientali del Friuli,
68798,Mendoza,
68799,Navarra,
68800,Collio,
