region_1_US,region_2
Chiroubles,
Forlì,
Peumo,
Ben Lomond Mountain,Central Coast
Paso Robles,Central Coast
Alexander Valley,Sonoma
Torgiano,
Cannonau di Sardegna,
Carignano del Sulcis,
Rapel Valley,
Washington,Washington Other
Edna Valley,Central Coast
Sangiovese di Romagna,
Casablanca Valley,
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Isola dei Nuraghi,
Vermentino di Sardegna,
Edna Valley,Central Coast
Sicilia,
Santa Cruz Mountains,Central Coast
Ribera del Duero,
Cienega Valley,Central Coast
Paso Robles,Central Coast
Cienega Valley,Central Coast
Santa Cruz Mountains,Central Coast
North Yuba,Sierra Foothills
Santa Maria Valley,Central Coast
Dry Creek Valley,Sonoma
Ribera del Duero,
Santa Cruz Mountains,Central Coast
Ribera del Duero,
Saint-Joseph,
Ribera del Duero,
Barossa Valley,
Champagne,
Wairarapa,
Coonawarra,
Clare Valley,
Sonoma Valley,Sonoma
Western Australia,
Pemberton,
Australia,
Monterey,Central Coast
Central Otago,
Paso Robles,Central Coast
North Fork of Long Island,Long Island
Argentina,
Sonoma Valley,Sonoma
Monterey,Central Coast
Pfalz,
Cafayate,
Russian River Valley,Sonoma
Santa Maria Valley,Central Coast
San Juan,
Paso Robles,Central Coast
Arroyo Grande Valley,Central Coast
Dry Creek Valley,Sonoma
Santa Maria Valley,Central Coast
Paso Robles,Central Coast
Arroyo Grande Valley,Central Coast
California,California Other
Saint-Émilion,
Pauillac,
Pessac-Léognan,
Margaux,
Margaux,
Walla Walla Valley (WA),Columbia Valley
Médoc,
Sauternes,
Haut-Médoc,
Pessac-Léognan,
Pessac-Léognan,
Barossa,
Pauillac,
Saint-Émilion,
Sauternes,
Pessac-Léognan,
Columbia Valley (WA),Columbia Valley
Pessac-Léognan,
Franciacorta,
Franciacorta,
Margaux,
Arroyo Grande Valley,Central Coast
Walla Walla Valley (WA),Columbia Valley
Mendoza,
Tokaji,
Bordeaux Blanc,
Sauternes,
Oakville,Napa
Russian River Valley,Sonoma
Rioja,
Prosecco di Valdobbiadene,
Monterey County,Central Coast
Washington,Washington Other
Central Coast,Central Coast
Columbia Valley (WA),Columbia Valley
Sauternes,
Haut-Médoc,
Bordeaux Blanc,
Alexander Valley,Sonoma
Bordeaux Blanc,
Rioja,
Paso Robles,Central Coast
Paso Robles,Central Coast
Navarra,
Champagne,
Champagne,
Oakville,Napa
Champagne,
Sta. Rita Hills,Central Coast
Oakville,Napa
Champagne,
Carneros,Napa-Sonoma
Champagne,
Champagne,
Champagne,
Champagne,
Sta. Rita Hills,Central Coast
Champagne,
Napa Valley,Napa
Champagne,
Champagne,
Champagne,
Napa Valley,Napa
Champagne,
Champagne,
Port,
Dry Creek Valley,Sonoma
Barossa Valley,
Napa Valley,Napa
Barossa,
Toro,
Barossa Valley,
Barossa Valley,
Anderson Valley,Mendocino/Lake Counties
Columbia Valley (WA),Columbia Valley
Port,
Washington,Washington Other
Yountville,Napa
Rioja,
Port,
Columbia Valley (WA),Columbia Valley
Côtes de Bourg,
Marlborough,
Bierzo,
Morellino di Scansano,
Lontué Valley,
Napa Valley,Napa
Colchagua Valley,
Maule Valley,
Veneto,
Delle Venezie,
Collio,
Maipo Valley,
Soave,
Maipo Valley,
Carneros,Napa-Sonoma
Lontué Valley,
Soave Classico Superiore,
Central Coast,Central Coast
Valle de Guadalupe,
California,California Other
Trentino,
Maipo Valley,
Maipo Valley,
Veneto,
Douro,
Russian River Valley,Sonoma
Sancerre,
Ribera del Duero,
Columbia Valley (WA),Columbia Valley
Stellenbosch,
Pouilly-Fumé,
Sonoma County,Sonoma
Brouilly,
Napa Valley,Napa
Ribera del Duero,
Priorat,
Fleurie,
Rattlesnake Hills,Columbia Valley
Stellenbosch,
Sancerre,
Ribera del Duero,
Monterrei,
Sancerre,
Eden Valley,
Simonsberg-Paarl,
Quincy,
Columbia Valley (WA),Columbia Valley
Swartland,
Isola dei Nuraghi,
Marche,
Montepulciano d'Abruzzo,
Red Hills Lake County,Mendocino/Lake Counties
Marlborough,
Napa Valley,Napa
Montepulciano d'Abruzzo,
Casablanca Valley,
Conero,
Sardinia,
Santa Lucia Highlands,Central Coast
Coastal Region,
Forlì,
Colchagua Valley,
Montepulciano d'Abruzzo,
Anjou,
Vouvray,
Sonoma Coast,Sonoma
Neusiedlersee-Hügelland,
Sonoma Coast,Sonoma
Carneros,Napa-Sonoma
Alexander Valley,Sonoma
Sonoma Valley,Sonoma
Neusiedlersee-Hügelland,
Kamptal,
Washington,Washington Other
Carneros,Napa-Sonoma
Carneros,Napa-Sonoma
Neusiedlersee-Hügelland,
Neusiedlersee-Hügelland,
Yakima Valley,Columbia Valley
Paso Robles,Central Coast
Neusiedlersee-Hügelland,
California,California Other
Napa Valley,Napa
Dry Creek Valley,Sonoma
Neusiedlersee-Hügelland,
Napa Valley,Napa
Perdriel,
Neusiedlersee-Hügelland,
Brunello di Montalcino,
Napa Valley,Napa
Carneros,Napa-Sonoma
Napa Valley,Napa
Mendoza,
Pessac-Léognan,
Saint-Émilion,
Pomerol,
Sauternes,
Sauternes,
Saint-Émilion,
Pessac-Léognan,
Sauternes,
Haut-Médoc,
Mendoza,
Barsac,
Graves,
Margaux,
Cafayate,
Columbia Valley (WA),Columbia Valley
Tokaji,
Barsac,
Barsac,
Pessac-Léognan,
Pomerol,
Margaux,
Saint-Émilion,
Sauternes,
Prosecco Superiore di Cartizze,
Monterey County,Central Coast
Sierra Foothills,Sierra Foothills
Monterey,Central Coast
Alexander Valley,Sonoma
Central Otago,
Russian River Valley,Sonoma
Champagne,
South Australia,
Marlborough,
Sonoma Valley,Sonoma
Champagne,
Monterey,Central Coast
Barossa Valley,
Champagne,
Santa Lucia Highlands,Central Coast
Paso Robles,Central Coast
Barbera d'Alba,
Russian River Valley,Sonoma
New Mexico,
Southern Oregon,Southern Oregon
Russian River Valley,Sonoma
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Russian River Valley,Sonoma
Santa Ynez Valley,Central Coast
Mâcon-Villages,
Willamette Valley,Willamette Valley
Santa Cruz Mountains,Central Coast
Dry Creek Valley,Sonoma
Burgenland,
Moscato d'Asti,
Edna Valley,Central Coast
Lodi,Central Valley
Russian River Valley,Sonoma
Yakima Valley,Columbia Valley
Russian River Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Clear Lake,Mendocino/Lake Counties
Rioja,
Graves,
Rioja,
Ribera del Duero,
Alexander Valley,Sonoma
Sauternes,
Sauternes,
Russian River Valley,Sonoma
Rioja,
Monterey,Central Coast
Russian River Valley,Sonoma
Walla Walla Valley (WA),Columbia Valley
Cava,
Columbia Valley (WA),Columbia Valley
Ribera del Duero,
Somontano,
California,California Other
Sonoma Coast,Sonoma
Walla Walla Valley (WA),Columbia Valley
Champagne,
Champagne,
Russian River Valley,Sonoma
Champagne,
Champagne,
Napa Valley,Napa
Sta. Rita Hills,Central Coast
Sta. Rita Hills,Central Coast
Amarone della Valpolicella Classico,
Champagne,
Sta. Rita Hills,Central Coast
Champagne,
Russian River Valley,Sonoma
Sta. Rita Hills,Central Coast
Champagne,
Champagne,
Champagne,
Santa Lucia Highlands,Central Coast
Napa Valley,Napa
Russian River Valley,Sonoma
Sta. Rita Hills,Central Coast
Edna Valley,Central Coast
Amarone della Valpolicella Classico,
Champagne,
Champagne,
Sta. Rita Hills,Central Coast
Port,
Columbia Valley (WA),Columbia Valley
Martinborough,
Bordeaux Supérieur,
Stags Leap District,Napa
Barossa Valley,
Sonoma Coast,Sonoma
Port,
Barossa,
Chianti Classico,
Port,
Bordeaux,
Yakima Valley,Columbia Valley
Toro,
Chianti Classico,
Bierzo,
Columbia Valley (WA),Columbia Valley
Barossa Valley,
Chianti Rufina,
Gisborne,
Barossa,
South Australia,
Barossa,
Ribera del Duero,
Valdepeñas,
Horse Heaven Hills,Columbia Valley
Mendoza,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Ribera del Duero,
Brunello di Montalcino,
Columbia Valley (WA),Columbia Valley
Rattlesnake Hills,Columbia Valley
Ribera del Duero,
Carneros,Napa-Sonoma
Rosso di Montalcino,
Santorini,
Columbia Valley (WA),Columbia Valley
Calatayud,
Argentina,
Columbia Valley (WA),Columbia Valley
Douro,
Paso Robles,Central Coast
Marlborough,
Edna Valley,Central Coast
Central Otago,
California,California Other
Barossa Valley,
Champagne,
Sta. Rita Hills,Central Coast
Paso Robles,Central Coast
Clare Valley,
Santa Lucia Highlands,Central Coast
California,California Other
Carneros,Napa-Sonoma
Carneros,Napa-Sonoma
Napa Valley,Napa
Santa Ynez Valley,Central Coast
Stags Leap District,Napa
Eden Valley,
Neusiedlersee-Hügelland,
Howell Mountain,Napa
Washington,Washington Other
Horse Heaven Hills,Columbia Valley
Toscana,
Alexander Valley,Sonoma
Dry Creek Valley,Sonoma
Santa Maria Valley,Central Coast
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Santa Cruz Mountains,Central Coast
Oakville,Napa
Santa Maria Valley,Central Coast
Sonoma Valley,Sonoma
Swartland,
Ben Lomond Mountain,Central Coast
Coastal Region,
Edna Valley,Central Coast
Rosso Piceno Superiore,
Montepulciano d'Abruzzo,
Vermentino di Gallura,
Sangiovese di Romagna Superiore,
Colli di Faenza,
Coastal Region,
Cannonau di Sardegna,
Torgiano,
Rosso Piceno Superiore,
Gisborne,
Western Cape,
Napa Valley,Napa
Stellenbosch,
Forlì,
Yakima Valley,Columbia Valley
Casablanca Valley,
Carneros,Napa-Sonoma
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Russian River Valley,Sonoma
Paso Robles,Central Coast
Saint-Émilion,
Margaux,
Barsac,
Pomerol,
Pessac-Léognan,
Sauternes,
Nagambie Lakes,
Dry Creek Valley,Sonoma
Cava,
Franciacorta,
Tokaji,
Yakima Valley,Columbia Valley
Saint-Émilion,
Pomerol,
Franciacorta,
Franciacorta,
Saint-Émilion,
Tokaji,
Crémant de Bourgogne,
Shenandoah Valley (CA),Sierra Foothills
Rheingau,
Mosel-Saar-Ruwer,
Chianti Classico,
Russian River Valley,Sonoma
California,California Other
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Sonoma Valley,Sonoma
Paso Robles,Central Coast
Maipo Valley,
Carneros,Napa-Sonoma
Rheingau,
Russian River Valley,Sonoma
Monterey County,Central Coast
California,California Other
Shenandoah Valley (CA),Sierra Foothills
Edna Valley,Central Coast
Russian River Valley,Sonoma
Rheingau,
Rheingau,
Sonoma County,Sonoma
California,California Other
Pfalz,
Sierra Foothills,Sierra Foothills
Mosel-Saar-Ruwer,
Mendocino,Mendocino/Lake Counties
Russian River Valley,Sonoma
Chassagne-Montrachet,
San Rafael,
California,California Other
Champagne,
Sonoma County,Sonoma
Lodi,Central Valley
Sonoma County,Sonoma
San Benito County,Central Coast
Santa Ynez Valley,Central Coast
Styria,
Central Coast,Central Coast
Sierra Foothills,Sierra Foothills
Central Coast,Central Coast
Calaveras County,Sierra Foothills
Pauillac,
Saint-Estèphe,
Sauternes,
Monterey,Central Coast
Asti,
Rioja,
Danube Hills Valley,
Cava,
Ribera del Duero,
Ribera del Duero,
San Lucas,Central Coast
Barsac,
Pauillac,
Penedès,
Russian River Valley,Sonoma
Ribera del Duero,
Port,
Barossa,
Edna Valley,Central Coast
Anderson Valley,Mendocino/Lake Counties
Toro,
Central Otago,
Barossa Valley,
Barossa Valley,
Washington,Washington Other
Rioja,
Port,
Rioja,
Barossa Valley,
Walla Walla Valley (WA),Columbia Valley
Barossa Valley,
Rioja,
Barossa,
Barossa Valley,
Barossa,
Amador County,Sierra Foothills
Champagne,
Sonoma Coast,Sonoma
Santa Barbara County,Central Coast
Champagne,
Champagne,
Champagne,
Champagne,
Sta. Rita Hills,Central Coast
Champagne,
Champagne,
Walla Walla Valley (WA),Columbia Valley
Champagne,
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Napa Valley,Napa
Mendoza,
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Columbia Valley (WA),Columbia Valley
Cafayate,
Muscadet Sèvre et Maine,
Kathikas,
Muscadet Sèvre et Maine,
Ribera del Duero,
Western Cape,
Dry Creek Valley,Sonoma
Douro,
Tasmania,
Clare Valley,
Rattlesnake Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
Maipú,
Columbia Valley (WA),Columbia Valley
Douro,
Napa Valley,Napa
Sancerre,
Horse Heaven Hills,Columbia Valley
Edna Valley,Central Coast
Nagambie Lakes,
Vermentino di Sardegna,
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Lazio,
Sonoma Valley,Sonoma
Vermentino di Sardegna,
Reuilly,
Anjou,
Marche,
Sagrantino di Montefalco,
Vermentino di Sardegna,
Sancerre,
Limarí Valley,
Maipo Valley,
Red Mountain,Columbia Valley
Cannonau di Sardegna,
Crémant de Bourgogne,
Port,
Columbia Valley (WA),Columbia Valley
McLaren Vale,
Yakima Valley,Columbia Valley
Sauternes,
Crémant de Bourgogne,
Russian River Valley,Sonoma
Friuli Isonzo,
Cava,
Franciacorta,
Tupungato,
Russian River Valley,Sonoma
Vouvray,
Columbia Valley (WA),Columbia Valley
Santa Barbara County,Central Coast
Franciacorta,
Franciacorta,
Franciacorta,
Coonawarra,
Crémant de Loire,
Prosecco Superiore di Cartizze,
Prosecco Superiore di Cartizze,
Crémant de Bourgogne,
Red Mountain,Columbia Valley
Sonoma Coast,Sonoma
Maipo Valley,
Barossa,
Russian River Valley,Sonoma
Marche,
Toscana,
Carneros,Napa-Sonoma
Columbia Valley (WA),Columbia Valley
Central Coast,Central Coast
Carneros,Napa-Sonoma
Sta. Rita Hills,Central Coast
Central Valley,
Sta. Rita Hills,Central Coast
Barossa,
Neusiedlersee-Hügelland,
Sta. Rita Hills,Central Coast
Santa Maria Valley,Central Coast
Santa Maria Valley,Central Coast
Carneros,Napa-Sonoma
Mendoza,
Clare Valley,
Venezia Giulia,
Russian River Valley,Sonoma
Casablanca Valley,
Rheingau,
Russian River Valley,Sonoma
Morellino di Scansano,
Rheingau,
Mosel-Saar-Ruwer,
Chiles Valley,Napa
Sierra Foothills,Sierra Foothills
California,California Other
Sierra Foothills,Sierra Foothills
Toscana,
Rheingau,
Pfalz,
Mendocino County,Mendocino/Lake Counties
Sonoma Valley,Sonoma
Napa Valley,Napa
Colchagua Valley,
Mosel-Saar-Ruwer,
Curicó Valley,
California,California Other
Bordeaux,
Santa Ynez Valley,Central Coast
Sauternes,
Paso Robles,Central Coast
Russian River Valley,Sonoma
Catalonia,
Prosecco del Veneto,
Cava,
California,California Other
Rioja,
Napa Valley,Napa
Bordeaux Blanc,
Navarra,
Ribera del Duero,
Columbia Valley (WA),Columbia Valley
Albemarle County,
Haut-Médoc,
Bourgogne,
Sierra Foothills,Sierra Foothills
North Fork of Long Island,Long Island
Monterey County,Central Coast
San Francisco Bay,Central Coast
Styria,
North Fork of Long Island,Long Island
Napa,
North Fork of Long Island,Long Island
Knights Valley,Sonoma
Paso Robles,Central Coast
Lodi,Central Valley
Pfalz,
Lodi,Central Valley
Mendoza,
Sonoma County,Sonoma
Dry Creek Valley,Sonoma
Mendoza,
Rhein-Mosel,
Champagne,
Walla Walla Valley (WA),Columbia Valley
Champagne,
Sta. Rita Hills,Central Coast
Columbia Valley (WA),Columbia Valley
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Champagne,
Santa Maria Valley,Central Coast
Yakima Valley,Columbia Valley
Yarra Valley,
Sta. Rita Hills,Central Coast
Yakima Valley,Columbia Valley
Uco Valley,
Sta. Rita Hills,Central Coast
Napa Valley,Napa
Champagne,
Amarone della Valpolicella Classico,
Luján de Cuyo,
Champagne,
Champagne,
Russian River Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Chianti Classico,
Port,
Columbia Valley (WA),Columbia Valley
Barossa,
Columbia Valley (WA),Columbia Valley
Toro,
Barossa Valley,
Red Mountain,Columbia Valley
Marlborough,
Barossa,
Anderson Valley,Mendocino/Lake Counties
Eden Valley,
Barossa Valley,
Rioja,
Barossa Valley,
Barossa Valley,
Chianti,
Napa Valley,Napa
Carneros,Napa-Sonoma
Ribeiro,
Valdepeñas,
Saint-Amour,
Columbia Gorge (WA),Washington Other
Washington,Washington Other
Somontano,
Sancerre,
San Juan,
Menetou-Salon,
Alicante,
Napa Valley,Napa
Morgon,
Morgon,
Columbia Valley (WA),Columbia Valley
Mendoza,
Rioja,
Santa Maria Valley,Central Coast
Washington,Washington Other
Dry Creek Valley,Sonoma
Simonsberg-Stellenbosch,
Mendoza,
Orange,
La Consulta,
Columbia Valley (WA),Columbia Valley
Franciacorta,
Santa Lucia Highlands,Central Coast
Yakima Valley,Columbia Valley
Saint-Estèphe,
Yakima Valley,Columbia Valley
Crémant d'Alsace,
Lodi,Central Valley
Columbia Valley (WA),Columbia Valley
Franciacorta,
Franciacorta,
Cava,
Tokaji,
Crémant d'Alsace,
Crémant d'Alsace,
Crémant de Bourgogne,
Crémant de Limoux,
Franciacorta,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Barsac,
Sonoma Valley,Sonoma
Vouvray,
Horse Heaven Hills,Columbia Valley
Coastal Region,
Vouvray,
Nuragus di Cagliari,
Sangiovese di Romagna,
Colchagua Valley,
Coastal Region,
Napa Valley,Napa
Sangiovese di Romagna,
Sangiovese di Romagna Superiore,
Rosso Conero,
Central Ranges,
Western Cape,
Rosso Piceno,
Western Cape,
Napa Valley,Napa
Colchagua Valley,
Russian River Valley,Sonoma
Central Valley,
Sonoma County,Sonoma
Maule Valley,
Sonoma County,Sonoma
Amador County,Sierra Foothills
Cachapoal Valley,
Rapel Valley,
North Coast,North Coast
Rapel Valley,
Bío Bío Valley,
Rapel Valley,
Napa Valley,Napa
Sonoma County,Sonoma
Dry Creek Valley,Sonoma
Cafayate,
Santa Maria Valley,Central Coast
Lodi,Central Valley
North Fork of Long Island,Long Island
California,California Other
California,California Other
Willamette Valley,Willamette Valley
Sonoma County,Sonoma
California,California Other
Paso Robles,Central Coast
Mosel-Saar-Ruwer,
Columbia Valley (WA),Columbia Valley
California,California Other
Napa Valley,Napa
Prosecco di Conegliano e Valdobbiadene,
Sliven,
Columbia Valley (WA),Columbia Valley
Napa Valley,Napa
Bordeaux Blanc,
Haut-Médoc,
Napa Valley,Napa
Bierzo,
Rioja,
California,California Other
Sonoma Coast,Sonoma
Champagne,
Sta. Rita Hills,Central Coast
Sta. Rita Hills,Central Coast
Champagne,
Amarone della Valpolicella Classico,
San Luis Obispo County,Central Coast
Amarone della Valpolicella Classico,
Santa Ynez Valley,Central Coast
Sta. Rita Hills,Central Coast
Columbia Valley (WA),Columbia Valley
Champagne,
Oakville,Napa
Santa Barbara County,Central Coast
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Champagne,
Marin County,North Coast
Champagne,
Champagne,
Napa Valley,Napa
Sta. Rita Hills,Central Coast
Champagne,
Chianti Classico,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Barossa Valley,
Barossa Valley,
Horse Heaven Hills,Columbia Valley
Barossa,
Barossa,
Mendocino County,Mendocino/Lake Counties
Santa Ynez Valley,Central Coast
Anderson Valley,Mendocino/Lake Counties
Premieres Côtes de Bordeaux,
Port,
Santa Barbara County,Central Coast
Napa Valley,Napa
Port,
Marlborough,
Green Valley,Sonoma
Ilias,
Chinon,
Columbia Valley (WA),Columbia Valley
Padthaway,
Menetou-Salon,
Santa Lucia Highlands,Central Coast
Rioja,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Coastal Region,
Santa Cruz Mountains,Central Coast
Alexander Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Muscadet Sèvre et Maine,
Perdriel,
Dão,
Vinho Espumante de Qualidade,
Colchagua Valley,
Rapel Valley,
Maipo Valley,
Casablanca Valley,
Mendocino County,Mendocino/Lake Counties
El Dorado,Sierra Foothills
California,California Other
Maipo Valley,
California,California Other
Maipo Valley,
Curicó Valley,
Fiddletown,Sierra Foothills
Russian River Valley,Sonoma
California,California Other
Maipo Valley,
Colchagua Valley,
California,California Other
Shenandoah Valley (CA),Sierra Foothills
Isola dei Nuraghi,
Washington,Washington Other
Vermentino di Sardegna,
Touraine,
Marlborough,
Maule Valley,
Contra Costa County,Central Coast
Carignano del Sulcis,
Monica di Sardegna,
Montepulciano d'Abruzzo,
Casablanca Valley,
Colchagua Valley,
Sancerre,
Colli di Faenza,
Casablanca Valley,
Santa Cruz Mountains,Central Coast
Kumeu,
Casablanca Valley,
Sangiovese di Romagna Superiore,
Crémant de Loire,
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Coonawarra,
Adelaide Hills,
Barossa Valley,
Mendoza,
Crémant de Bourgogne,
Tupungato,
Sierra Foothills,Sierra Foothills
Sonoma Valley,Sonoma
Wrattonbully,
Santa Barbara County,Central Coast
Mendoza,
Crémant de Loire,
Piedmont,
Prosecco Superiore di Cartizze,
Russian River Valley,Sonoma
Mendoza,
North Fork of Long Island,Long Island
California,California Other
Russian River Valley,Sonoma
Willamette Valley,Willamette Valley
Napa Valley,Napa
Sonoma County,Sonoma
Arroyo Seco,Central Coast
California,California Other
Russian River Valley,Sonoma
Sonoma County,Sonoma
Mendocino,Mendocino/Lake Counties
Napa Valley,Napa
Bordeaux Blanc,
Rioja,
Rioja,
Trento,
Montello e Colli Asolani,
Sauternes,
Bordeaux Blanc,
Somontano,
Monterey County,Central Coast
Utiel-Requena,
Rioja,
France,
Italy,
Haut-Médoc,
Italy,
Rosso Conero,
Ribera del Duero,
Red Mountain,Columbia Valley
Champagne,
Alexander Valley,Sonoma
Champagne,
Sta. Rita Hills,Central Coast
Mt. Harlan,Central Coast
Stags Leap District,Napa
Champagne,
Champagne,
Columbia Valley (WA),Columbia Valley
Sonoma County,Sonoma
Champagne,
Yakima Valley,Columbia Valley
Champagne,
Mendoza,
Sta. Rita Hills,Central Coast
Champagne,
Mendoza,
St. Helena,Napa
Champagne,
Mendoza,
Barossa,
Barossa Valley,
Chianti Rufina,
Port,
Madera,Central Valley
Haut-Médoc,
Calaveras County,Sierra Foothills
Santa Maria Valley,Central Coast
Chianti Classico,
Columbia Valley (WA),Columbia Valley
Martinborough,
Anderson Valley,Mendocino/Lake Counties
Chianti Colli Fiorentini,
Santa Lucia Highlands,Central Coast
Bierzo,
Dry Creek Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Chalone,Central Coast
Priorat,
Mendoza,
Cafayate,
Alentejano,
Southern Flinders Ranges,
Rioja,
Sonoma County,Sonoma
Uco Valley,
Stellenbosch,
Bennett Valley,Sonoma
Rattlesnake Hills,Columbia Valley
Valdepeñas,
Riverina,
Santa Barbara County,Central Coast
Dry Creek Valley,Sonoma
Toro,
Baden,
Maipo Valley,
Colchagua Valley,
California,California Other
California,California Other
Dunnigan Hills,Central Valley
Rapel Valley,
Vin de Pays d'Oc,
California,California Other
Santa Barbara County,Central Coast
Maipo Valley,
Baden,
California,California Other
Maipo Valley,
California,California Other
Coonawarra,
Mendoza,
Columbia Valley (WA),Columbia Valley
Douro,
Columbia Valley (WA),Columbia Valley
Port,
Saumur,
Prosecco di Valdobbiadene,
Crémant d'Alsace,
Russian River Valley,Sonoma
Dry Creek Valley,Sonoma
Cava,
Coonawarra,
Port,
Friuli Isonzo,
Walla Walla Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Crémant de Limoux,
Cava,
Dão,
Franciacorta,
Yakima Valley,Columbia Valley
Colchagua Valley,
Aconcagua Valley,
Maipo Valley,
Vermentino di Sardegna,
Monterey,Central Coast
Sangiovese di Romagna,
Maule Valley,
Contra Costa County,Central Coast
Lazio,
Western Cape,
Coastal Region,
Monica di Sardegna,
Central Valley,
Edna Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Colchagua Valley,
Coastal Region,
Maule Valley,
Maipo Valley,
Maipo Valley,
Limarí Valley,
Casablanca Valley,
Rheinhessen,
Chalk Hill,Sonoma
"The Hamptons, Long Island",Long Island
Mendoza,
Mendocino,Mendocino/Lake Counties
Maipú,
Dry Creek Valley,Sonoma
Santa Ynez Valley,Central Coast
Potter Valley,Mendocino/Lake Counties
Mendoza,
Marin County,North Coast
Amador County,Sierra Foothills
North Fork of Long Island,Long Island
California,California Other
Lodi,Central Valley
Russian River Valley,Sonoma
Central Coast,Central Coast
California,California Other
California,California Other
Central Coast,Central Coast
Cava,
Catalonia,
Napa Valley,Napa
Livermore Valley,Central Coast
Bordeaux,
Ribera del Duero,
Cariñena,
California,California Other
Rioja,
Vino Tierra de León,
Napa Valley,Napa
Tarnave,
Napa Valley,Napa
Sauternes,
Columbia Valley (WA),Columbia Valley
Paso Robles,Central Coast
Barossa Valley,
Chianti Classico,
Marlborough,
Paso Robles,Central Coast
Port,
Monterey County,Central Coast
Monterey,Central Coast
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Rioja,
Columbia Valley (WA),Columbia Valley
Washington,Washington Other
Paso Robles,Central Coast
Arroyo Grande Valley,Central Coast
Barossa Valley,
Beaujolais,
Cafayate,
Ribera del Duero,
Sonoma-Napa-Lake,North Coast
Langhorne Creek,
Carneros,Napa-Sonoma
Napa-Carneros,Napa
Carneros,Napa-Sonoma
Kathikas,
Central Coast,Central Coast
Alicante,
Vino de la Tierra de Castilla,
Saint-Amour,
Oak Knoll District,Napa
Santa Cruz Mountains,Central Coast
Napa-Sonoma,North Coast
Russian River Valley,Sonoma
Rueda,
Montsant,
California,California Other
Maipo Valley,
Casablanca Valley,
California,California Other
Sonoma Coast,Sonoma
Napa Valley,Napa
Napa Valley,Napa
Russian River Valley,Sonoma
Sonoma County,Sonoma
Santa Barbara,Central Coast
Northern Sonoma,Sonoma
Napa Valley,Napa
Carneros,Napa-Sonoma
Russian River Valley,Sonoma
Napa Valley,Napa
Guenoc Valley,Mendocino/Lake Counties
Santa Maria Valley,Central Coast
Sonoma County,Sonoma
Pommard,
Sonoma County,Sonoma
Dry Creek Valley,Sonoma
Sonoma County,Sonoma
California,California Other
Russian River Valley,Sonoma
Sonoma County,Sonoma
Yakima Valley,Columbia Valley
Napa Valley,Napa
Trento,
Tokaji,
Collio,
Crémant de Bourgogne,
Washington,Washington Other
Tokaji,
San Luis Obispo County,Central Coast
Prosecco Superiore di Cartizze,
Veneto,
Western Australia,
Cava,
Coonawarra,
Columbia Valley (WA),Columbia Valley
Amador County,Sierra Foothills
Walla Walla Valley (WA),Columbia Valley
Franciacorta,
Crémant de Jura,
Saumur,
Columbia Valley (WA),Columbia Valley
Prosecco di Valdobbiadene,
Mendoza,
Rheinhessen,
"The Hamptons, Long Island",Long Island
Mendoza,
Livermore Valley,Central Coast
Clear Lake,Mendocino/Lake Counties
Sonoma County,Sonoma
Santa Barbara County,Central Coast
Paso Robles,Central Coast
Mendoza,
Paso Robles,Central Coast
San Benito County,Central Coast
Russian River Valley,Sonoma
Mendoza,
Rheinhessen,
Lake County,Mendocino/Lake Counties
Touraine,
Central Valley,
St. Helena,Napa
Paso Robles,Central Coast
Limarí Valley,
Coonawarra,
Lazio,
Clare Valley,
Dry Creek Valley,Sonoma
Sonoma Valley,Sonoma
Paso Robles,Central Coast
Isola dei Nuraghi,
Maule Valley,
Paso Robles,Central Coast
Contra Costa County,Central Coast
Cava,
Livermore Valley,Central Coast
Bordeaux Blanc,
Oakville,Napa
Santa Ynez Valley,Central Coast
California,California Other
Rioja,
Jumilla,
Médoc,
Russian River Valley,Sonoma
Bordeaux Blanc,
Trento,
Trento,
Haut-Médoc,
